City_ID,City,Country,Date,Lat,Lng,Max Temp,Weather,Humidity,Cloudiness,Wind Speed,Rain,Snow
0,Zhangye,CN,2020-04-25 00:13:22,38.93,100.45,49.15,clear sky,17,0,6.02,0.0,0.0
1,Rikitea,PF,2020-04-25 00:12:56,-23.12,-134.97,76.98,overcast clouds,68,96,8.5,0.0,0.0
2,Provideniya,RU,2020-04-25 00:14:14,64.38,-173.3,29.34,clear sky,92,1,10.16,0.0,0.0
3,Ushuaia,AR,2020-04-25 00:16:52,-54.8,-68.3,37.4,shower rain,64,75,9.17,0.0,0.0
4,Henties Bay,NA,2020-04-25 00:16:52,-22.12,14.28,57.0,broken clouds,96,66,1.01,0.0,0.0
5,Saint-Philippe,RE,2020-04-25 00:16:53,-21.36,55.77,75.2,broken clouds,83,75,5.82,0.0,0.0
6,Punta Arenas,CL,2020-04-25 00:16:53,-53.15,-70.92,41.0,few clouds,65,20,14.99,0.0,0.0
7,Yevlax,AZ,2020-04-25 00:16:53,40.61,47.15,42.8,overcast clouds,93,90,3.44,0.0,0.0
8,Manicore,BR,2020-04-25 00:16:54,-5.81,-61.3,80.6,light rain,88,92,0.94,0.92,0.0
9,Port Hardy,CA,2020-04-25 00:16:54,50.7,-127.42,57.2,overcast clouds,62,90,17.22,0.0,0.0
10,Atuona,PF,2020-04-25 00:16:54,-9.8,-139.03,81.66,clear sky,72,1,13.24,0.0,0.0
11,Tuktoyaktuk,CA,2020-04-25 00:16:55,69.45,-133.04,-0.4,overcast clouds,77,90,9.17,0.0,0.0
12,Yellowknife,CA,2020-04-25 00:14:11,62.46,-114.35,23.0,light snow,79,90,13.87,0.0,0.0
13,Qaanaaq,GL,2020-04-25 00:16:55,77.48,-69.36,19.17,overcast clouds,87,98,1.28,0.0,0.0
14,Alta Floresta,BR,2020-04-25 00:16:56,-9.88,-56.09,74.16,light rain,87,90,0.72,0.45,0.0
15,Palu,ID,2020-04-25 00:16:56,-0.89,119.87,81.28,overcast clouds,74,87,1.39,0.0,0.0
16,Jamestown,US,2020-04-25 00:16:02,42.1,-79.24,46.99,broken clouds,80,75,8.05,0.0,0.0
17,Fort Nelson,CA,2020-04-25 00:14:03,58.81,-122.7,57.2,broken clouds,33,75,5.82,0.0,0.0
18,Albany,US,2020-04-25 00:16:57,42.6,-73.97,48.2,few clouds,45,20,3.36,0.0,0.0
19,Concepcion,CL,2020-04-25 00:16:57,-36.83,-73.05,59.0,thunderstorm,93,90,19.46,0.0,0.0
20,Riyadh,SA,2020-04-25 00:16:16,24.69,46.72,86.0,clear sky,28,5,5.82,0.0,0.0
21,Bredasdorp,ZA,2020-04-25 00:16:57,-34.53,20.04,60.8,light rain,93,70,2.24,0.25,0.0
22,Arraial Do Cabo,BR,2020-04-25 00:16:58,-22.97,-42.03,74.28,clear sky,67,0,10.33,0.0,0.0
23,Chuy,UY,2020-04-25 00:13:01,-33.7,-53.46,69.39,overcast clouds,73,86,7.74,0.0,0.0
24,Vanavara,RU,2020-04-25 00:16:58,60.34,102.28,44.2,overcast clouds,81,100,2.08,0.0,0.0
25,Marawi,PH,2020-04-25 00:16:02,8.0,124.29,86.0,broken clouds,62,84,5.01,0.0,0.0
