City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
0,Zhangye,CN,49.15,clear sky,38.93,100.45,Zhangye Lvzhou Holiday Inn
3,Ushuaia,AR,37.4,shower rain,-54.8,-68.3,Albatros Hotel
6,Punta Arenas,CL,41.0,few clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
7,Yevlax,AZ,42.8,overcast clouds,40.61,47.15,Yevlax Şeher Heyder Eliyev Parki
16,Jamestown,US,46.99,broken clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
18,Albany,US,48.2,few clouds,42.6,-73.97,
24,Vanavara,RU,44.2,overcast clouds,60.34,102.28,Church of Churches
26,Rio Gallegos,AR,41.0,broken clouds,-51.62,-69.22,Hotel Santa Cruz
30,Margate,GB,48.0,clear sky,51.38,1.39,Premier Inn Margate hotel
38,Kodiak,US,44.6,light rain,57.79,-152.41,Best Western Kodiak Inn and Convention Center
46,Kristiansund,NO,41.0,drizzle,63.11,7.73,Scandic Kristiansund
53,Thompson,CA,39.2,scattered clouds,55.74,-97.86,Burntwood Hotel
63,Roald,NO,42.01,few clouds,62.58,6.13,Flem Cabins
67,Mokhsogollokh,RU,35.1,broken clouds,61.47,128.92,
72,Vestmanna,FO,42.8,broken clouds,62.16,-7.17,Budget Guesthouse Borgustova
74,Racale,IT,48.2,clear sky,39.96,18.09,Albergo Vittoria
80,Vad,RU,37.9,light rain,55.53,44.21,Riv'yera Rezort Otel'
89,Pangnirtung,CA,35.22,overcast clouds,66.15,-65.71,Kilabuk Lodge
101,Chernyshevskiy,RU,33.35,broken clouds,63.01,112.47,Chernyseyskiy
104,Ola,RU,32.02,few clouds,59.58,151.28,
108,Petropavlovsk-Kamchatskiy,RU,41.0,shower rain,53.05,158.65,"ООО ""Гостиничный комплекс ""Петропавловск"""
112,Khasan,RU,39.25,light rain,42.43,130.64,Krako Motorkár
115,Fairbanks,US,37.99,clear sky,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
120,Severnoye,RU,41.72,overcast clouds,56.35,78.36,Gostinitsa Severyanka
122,Vestmannaeyjar,IS,43.2,light rain,63.44,-20.27,Glamping & Camping
131,La Ronge,CA,46.4,broken clouds,55.1,-105.28,Northland Motor Hotel
133,Westport,US,48.99,light rain,41.14,-73.36,The Westport Inn
140,Atasu,KZ,43.57,overcast clouds,48.68,71.64,Dostyk
146,Escanaba,US,48.99,clear sky,45.75,-87.06,Sunset Lodge
155,Erenhot,CN,43.0,scattered clouds,43.65,111.98,Erenhot Rurouni Youth Hostel
156,Hailar,CN,42.15,broken clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
159,Oktyabrskiy,RU,31.75,broken clouds,54.48,53.47,Уязы-Тау гостиница
162,Bonavista,CA,35.01,few clouds,48.65,-53.11,Abbott's Bed & Breakfast
163,Khatanga,RU,33.03,light rain,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
164,Freeport,US,50.0,overcast clouds,40.66,-73.58,The Freeport Inn and Marina
168,Saskylakh,RU,30.29,scattered clouds,71.92,114.08,Saskylakh Aeroport
182,Slave Lake,CA,46.4,clear sky,55.28,-114.77,Super 8 by Wyndham Slave Lake AB
185,Iqaluit,CA,32.0,light snow,63.75,-68.51,Frobisher Inn
190,Severo-Kurilsk,RU,32.85,light snow,50.68,156.12,Kak Doma
198,Sitka,US,46.4,overcast clouds,57.05,-135.33,Westmark Sitka
211,Bethel,US,48.0,broken clouds,41.37,-73.41,Courtyard by Marriott Danbury
212,Anapskaya,RU,33.8,clear sky,44.89,37.38,Continent Hotel
218,Nikolskoye,RU,34.0,scattered clouds,59.7,30.79,Tourist House - Sablino
